DATASET,GP,FIFO/CS,DD/CS,FIFO/Relax,FIFO+DD/CS,FIFO+DD/CS+Relax
./data_1_9/conus_rural_easy_s3.json,0.379287448,0.380820218,0.385424375,0.430746301,0.384459579,0.418473713
./data_1_9/conus_rural_hard_s1.json,0.480846007,0.482920297,0.483122613,0.483175319,0.483971532,0.484058099
./data_1_9/conus_rural_hard_s2.json,0.454451369,0.486199081,0.486882189,0.486958256,0.497700593,0.497710582
./data_1_9/conus_rural_hard_s3.json,0.434477045,0.486592735,0.502398802,0.489069631,0.500401051,0.501149982
./data_1_9/conus_rural_normal_s1.json,0.413468369,0.417444925,0.415877062,0.446211072,0.420532882,0.430487189
./data_1_9/conus_rural_normal_s2.json,0.418796394,0.431412299,0.436030145,0.454583149,0.434363054,0.446542096
./data_1_9/conus_rural_normal_s3.json,0.412533342,0.413503111,0.423947448,0.450417333,0.421705646,0.441019957
./data_1_9/conus_uniform_easy_s1.json,0.377679915,0.388590817,0.393421938,0.450578258,0.394827975,0.419186403
./data_1_9/conus_uniform_easy_s2.json,0.362620256,0.368806493,0.373315189,0.435876772,0.372055377,0.415116637
./data_1_9/conus_uniform_easy_s3.json,0.359623684,0.374240459,0.377336752,0.433189439,0.376212037,0.42184777
./data_1_9/conus_uniform_hard_s1.json,0.479364295,0.479522605,0.475274433,0.478774633,0.479922747,0.479767044
./data_1_9/conus_uniform_hard_s2.json,0.466211096,0.489533721,0.487126424,0.487548577,0.499447357,0.499553565
./data_1_9/conus_uniform_hard_s3.json,0.466477328,0.484961472,0.485297879,0.483572895,0.500806184,0.502232439
./data_1_9/conus_uniform_normal_s1.json,0.431505276,0.421499681,0.426410825,0.452196379,0.423313347,0.434742265
./data_1_9/conus_uniform_normal_s2.json,0.379387114,0.403064134,0.406265923,0.433778542,0.406732718,0.41934696
./data_1_9/conus_uniform_normal_s3.json,0.414044936,0.432507775,0.426206343,0.464499692,0.43761212,0.461559826
./data_1_9/conus_urban_easy_s1.json,0.382615641,0.387418952,0.39769865,0.437833984,0.396626254,0.418379692
./data_1_9/conus_urban_easy_s2.json,0.393465049,0.39883724,0.395670239,0.448084721,0.39946801,0.429618245
./data_1_9/conus_urban_easy_s3.json,0.380362638,0.380825506,0.384167686,0.451898101,0.379972152,0.427581931
./data_1_9/conus_urban_hard_s1.json,0.477230891,0.48061198,0.48249803,0.481175406,0.48216044,0.482652038
./data_1_9/conus_urban_hard_s2.json,0.454361853,0.483141821,0.483830891,0.484438146,0.496445253,0.496373214
./data_1_9/conus_urban_hard_s3.json,0.455131741,0.486571519,0.488605716,0.488850059,0.501649082,0.50325381
./data_1_9/conus_urban_normal_s1.json,0.390556801,0.402979637,0.410031409,0.435394914,0.408099983,0.416467125
./data_1_9/conus_urban_normal_s2.json,0.408536429,0.416414869,0.427993101,0.463179213,0.428423109,0.451370459
./data_1_9/conus_urban_normal_s3.json,0.413200413,0.420201426,0.4295292,0.450165615,0.430601157,0.447804709
./input_25/cogent_centers_easy_s1.json,0.415404678,0.413505782,0.41485976,0.448933578,0.414658181,0.435081426
./input_25/cogent_centers_easy_s2.json,0.422072219,0.424621022,0.425399952,0.459200712,0.425264031,0.451681333
./input_25/cogent_centers_easy_s3.json,0.395172915,0.399018601,0.399498251,0.454046264,0.401172741,0.439567201
./input_25/cogent_centers_hard_s1.json,0.479671319,0.481052097,0.482887149,0.479923333,0.483900314,0.482748904
./input_25/cogent_centers_hard_s2.json,0.468993266,0.493610177,0.501915594,0.49280686,0.503932832,0.503068417
./input_25/cogent_centers_hard_s3.json,0.432080737,0.49146926,0.50843469,0.490900218,0.508274308,0.51173298
./input_25/cogent_centers_normal_s1.json,0.431366919,0.435587118,0.439371598,0.45718766,0.436546998,0.44834126
./input_25/cogent_centers_normal_s2.json,0.425344822,0.429565611,0.43784618,0.453493689,0.436723367,0.448381526
./input_25/cogent_centers_normal_s3.json,0.437482023,0.455054234,0.465101701,0.470344955,0.466648736,0.477591816
./input_25/cogent_rural_easy_s1.json,0.378980794,0.385102912,0.391355745,0.438526384,0.388166162,0.4082934
./input_25/cogent_rural_easy_s2.json,0.394765266,0.394814336,0.400988748,0.446863845,0.398288459,0.414603414
./input_25/cogent_rural_easy_s3.json,0.384155819,0.388986829,0.389571796,0.433890111,0.387130456,0.408108633
./input_25/cogent_rural_hard_s1.json,0.470157484,0.473329513,0.474149143,0.473027141,0.473290606,0.474110087
